source_id,source_name,relation,target_id,target_name,evidence
F001,四君子汤,包含,H003,党参,《方剂学》教材
F001,四君子汤,包含,H006,白术,《方剂学》教材
F001,四君子汤,包含,H034,茯苓,《方剂学》教材
F001,四君子汤,包含,H008,甘草,《方剂学》教材
F002,补中益气汤,包含,H005,黄芪,《方剂学》教材
F002,补中益气汤,包含,H003,党参,《方剂学》教材
F002,补中益气汤,包含,H006,白术,《方剂学》教材
F002,补中益气汤,包含,H008,甘草,《方剂学》教材
F002,补中益气汤,包含,H059,柴胡,《方剂学》教材
F002,补中益气汤,包含,H060,升麻,《方剂学》教材
F002,补中益气汤,包含,H075,陈皮,《方剂学》教材
F002,补中益气汤,包含,H009,大枣,《方剂学》教材
F002,补中益气汤,包含,H049,生姜,《方剂学》教材
F002,补中益气汤,包含,H076,枳壳,《方剂学》教材
F003,参苓白术散,包含,H003,党参,《方剂学》教材
F003,参苓白术散,包含,H006,白术,《方剂学》教材
F003,参苓白术散,包含,H034,茯苓,《方剂学》教材
F003,参苓白术散,包含,H007,山药,《方剂学》教材
F003,参苓白术散,包含,H037,薏苡仁,《方剂学》教材
F003,参苓白术散,包含,H044,砂仁,《方剂学》教材
F003,参苓白术散,包含,H075,陈皮,《方剂学》教材
F003,参苓白术散,包含,H008,甘草,《方剂学》教材
F003,参苓白术散,包含,H086,桔梗,《方剂学》教材
F003,参苓白术散,包含,H009,大枣,《方剂学》教材
F004,四物汤,包含,H011,当归,《方剂学》教材
F004,四物汤,包含,H080,川芎,《方剂学》教材
F004,四物汤,包含,H013,白芍,《方剂学》教材
F004,四物汤,包含,H012,熟地黄,《方剂学》教材
F005,当归补血汤,包含,H005,黄芪,《方剂学》教材
F005,当归补血汤,包含,H011,当归,《方剂学》教材
F006,八珍汤,包含,H003,党参,《方剂学》教材
F006,八珍汤,包含,H006,白术,《方剂学》教材
F006,八珍汤,包含,H034,茯苓,《方剂学》教材
F006,八珍汤,包含,H008,甘草,《方剂学》教材
F006,八珍汤,包含,H011,当归,《方剂学》教材
F006,八珍汤,包含,H080,川芎,《方剂学》教材
F006,八珍汤,包含,H013,白芍,《方剂学》教材
F006,八珍汤,包含,H012,熟地黄,《方剂学》教材
F006,八珍汤,包含,H009,大枣,《方剂学》教材
F006,八珍汤,包含,H049,生姜,《方剂学》教材
F007,归脾汤,包含,H003,党参,《方剂学》教材
F007,归脾汤,包含,H006,白术,《方剂学》教材
F007,归脾汤,包含,H005,黄芪,《方剂学》教材
F007,归脾汤,包含,H011,当归,《方剂学》教材
F007,归脾汤,包含,H034,茯苓,《方剂学》教材
F007,归脾汤,包含,H025,远志,《方剂学》教材
F007,归脾汤,包含,H024,酸枣仁,《方剂学》教材
F007,归脾汤,包含,H016,龙眼肉,《方剂学》教材
F007,归脾汤,包含,H077,木香,《方剂学》教材
F007,归脾汤,包含,H008,甘草,《方剂学》教材
F007,归脾汤,包含,H009,大枣,《方剂学》教材
F007,归脾汤,包含,H049,生姜,《方剂学》教材
F008,炙甘草汤,包含,H008,甘草,《方剂学》教材
F008,炙甘草汤,包含,H003,党参,《方剂学》教材
F008,炙甘草汤,包含,H012,熟地黄,《方剂学》教材
F008,炙甘草汤,包含,H011,当归,《方剂学》教材
F008,炙甘草汤,包含,H014,阿胶,《方剂学》教材
F008,炙甘草汤,包含,H024,酸枣仁,《方剂学》教材
F008,炙甘草汤,包含,H047,桂枝,《方剂学》教材
F008,炙甘草汤,包含,H018,麦冬,《方剂学》教材
F008,炙甘草汤,包含,H049,生姜,《方剂学》教材
F008,炙甘草汤,包含,H009,大枣,《方剂学》教材
F009,六味地黄丸,包含,H012,熟地黄,《方剂学》教材
F009,六味地黄丸,包含,H007,山药,《方剂学》教材
F009,六味地黄丸,包含,H034,茯苓,《方剂学》教材
F009,六味地黄丸,包含,H036,泽泻,《方剂学》教材
F009,六味地黄丸,包含,H071,牡丹皮,《方剂学》教材
F009,六味地黄丸,包含,H017,枸杞子,《方剂学》教材
F009,六味地黄丸,包含,H022,女贞子,《方剂学》教材
F010,一贯煎,包含,H017,枸杞子,《方剂学》教材
F010,一贯煎,包含,H018,麦冬,《方剂学》教材
F010,一贯煎,包含,H019,沙参,《方剂学》教材
F010,一贯煎,包含,H022,女贞子,《方剂学》教材
F010,一贯煎,包含,H013,白芍,《方剂学》教材
F010,一贯煎,包含,H075,陈皮,《方剂学》教材
F010,一贯煎,包含,H069,生地黄,《方剂学》教材
F010,一贯煎,包含,H080,川芎,《方剂学》教材
F011,酸枣仁汤,包含,H024,酸枣仁,《方剂学》教材
F011,酸枣仁汤,包含,H063,知母,《方剂学》教材
F011,酸枣仁汤,包含,H034,茯苓,《方剂学》教材
F011,酸枣仁汤,包含,H080,川芎,《方剂学》教材
F011,酸枣仁汤,包含,H008,甘草,《方剂学》教材
F012,天王补心丹,包含,H024,酸枣仁,《方剂学》教材
F012,天王补心丹,包含,H025,远志,《方剂学》教材
F012,天王补心丹,包含,H026,柏子仁,《方剂学》教材
F012,天王补心丹,包含,H018,麦冬,《方剂学》教材
F012,天王补心丹,包含,H012,熟地黄,《方剂学》教材
F012,天王补心丹,包含,H005,黄芪,《方剂学》教材
F012,天王补心丹,包含,H034,茯苓,《方剂学》教材
F012,天王补心丹,包含,H070,玄参,《方剂学》教材
F012,天王补心丹,包含,H081,丹参,《方剂学》教材
F012,天王补心丹,包含,H008,甘草,《方剂学》教材
F012,天王补心丹,包含,H069,生地黄,《方剂学》教材
F013,交泰丸,包含,H066,黄连,《方剂学》教材
F013,交泰丸,包含,H093,肉桂,《方剂学》教材
F014,安神定志丸,包含,H025,远志,《方剂学》教材
F014,安神定志丸,包含,H034,茯苓,《方剂学》教材
F014,安神定志丸,包含,H003,党参,《方剂学》教材
F014,安神定志丸,包含,H032,龙骨,《方剂学》教材
F014,安神定志丸,包含,H029,茯神,《方剂学》教材
F014,安神定志丸,包含,H031,磁石,《方剂学》教材
F015,麻黄汤,包含,H046,麻黄,《方剂学》教材
F015,麻黄汤,包含,H047,桂枝,《方剂学》教材
F015,麻黄汤,包含,H087,杏仁,《方剂学》教材
F015,麻黄汤,包含,H008,甘草,《方剂学》教材
F016,桂枝汤,包含,H047,桂枝,《方剂学》教材
F016,桂枝汤,包含,H013,白芍,《方剂学》教材
F016,桂枝汤,包含,H008,甘草,《方剂学》教材
